datetime,depth,depth_anom_all
2002-01-02,85.05882352941177,-106.72990267849454
2002-01-03,85.47058823529412,-106.31813797261219
2002-01-04,85.88235294117646,-105.90637326672984
2002-01-05,86.29411764705883,-105.49460856084748
2002-01-06,86.70588235294117,-105.08284385496513
2002-01-07,87.11764705882354,-104.67107914908277
2002-01-08,87.52941176470588,-104.25931444320042
2002-01-09,87.94117647058823,-103.84754973731808
2002-01-10,88.3529411764706,-103.43578503143571
2002-01-11,88.76470588235294,-103.02402032555337
2002-01-12,89.17647058823529,-102.61225561967102
2002-01-13,89.58823529411765,-102.20049091378866
2002-01-14,90.0,-101.78872620790631
2002-01-15,87.92857142857143,-103.86015477933488
2002-01-16,85.85714285714286,-105.93158335076345
2002-01-17,83.78571428571429,-108.00301192219202
2002-01-18,81.71428571428571,-110.0744404936206
2002-01-19,79.64285714285714,-112.14586906504917
2002-01-20,77.57142857142857,-114.21729763647774
2002-01-21,75.5,-116.28872620790631
2002-01-22,73.42857142857143,-118.36015477933488
2002-01-23,71.35714285714286,-120.43158335076345
2002-01-24,69.28571428571428,-122.50301192219203
2002-01-25,67.21428571428572,-124.57444049362059
2002-01-26,65.14285714285714,-126.64586906504917
2002-01-27,63.07142857142857,-128.71729763647772
2002-01-28,61.0,-130.7887262079063
2002-01-29,60.64705882352941,-131.1416673843769
2002-01-30,60.294117647058826,-131.4946085608475
2002-01-31,59.94117647058823,-131.84754973731808
2002-02-01,59.588235294117645,-132.20049091378866
2002-02-02,59.23529411764706,-132.55343209025926
2002-02-03,58.88235294117647,-132.90637326672984
2002-02-04,58.529411764705884,-133.25931444320042
2002-02-05,58.1764705882353,-133.612255619671
2002-02-06,57.8235294117647,-133.9651967961416
2002-02-07,57.470588235294116,-134.3181379726122
2002-02-08,57.11764705882353,-134.67107914908277
2002-02-09,56.76470588235294,-135.02402032555335
2002-02-10,56.411764705882355,-135.37696150202396
2002-02-11,56.05882352941177,-135.72990267849454
2002-02-12,55.705882352941174,-136.08284385496512
2002-02-13,55.35294117647059,-136.43578503143573
2002-02-14,55.0,-136.7887262079063
2002-02-15,55.63333333333333,-136.15539287457298
2002-02-16,56.266666666666666,-135.52205954123963
2002-02-17,56.9,-134.8887262079063
2002-02-18,57.53333333333333,-134.25539287457298
2002-02-19,58.166666666666664,-133.62205954123965
2002-02-20,58.8,-132.98872620790632
2002-02-21,59.43333333333334,-132.35539287457297
2002-02-22,60.06666666666666,-131.72205954123964
2002-02-23,60.7,-131.0887262079063
2002-02-24,61.333333333333336,-130.45539287457296
2002-02-25,61.96666666666667,-129.82205954123964
2002-02-26,62.6,-129.1887262079063
2002-02-27,63.233333333333334,-128.555392874573
2002-02-28,63.86666666666667,-127.92205954123963
2002-03-01,64.5,-127.28872620790631
2002-03-02,65.13333333333333,-126.65539287457298
2002-03-03,65.76666666666667,-126.02205954123964
2002-03-04,66.4,-125.3887262079063
2002-03-05,67.03333333333333,-124.75539287457298
2002-03-06,67.66666666666667,-124.12205954123964
2002-03-07,68.3,-123.48872620790631
2002-03-08,68.93333333333334,-122.85539287457297
2002-03-09,69.56666666666666,-122.22205954123964
2002-03-10,70.2,-121.5887262079063
2002-03-11,70.83333333333333,-120.95539287457298
2002-03-12,71.46666666666667,-120.32205954123964
2002-03-13,72.1,-119.68872620790631
2002-03-14,72.73333333333333,-119.05539287457297
2002-03-15,73.36666666666667,-118.42205954123963
2002-03-16,74.0,-117.78872620790631
2002-03-17,74.63333333333333,-117.15539287457298
2002-03-18,75.26666666666667,-116.52205954123964
2002-03-19,75.9,-115.8887262079063
2002-03-20,76.53333333333333,-115.25539287457298
2002-03-21,77.16666666666667,-114.62205954123964
2002-03-22,77.8,-113.98872620790631
2002-03-23,78.43333333333334,-113.35539287457297
2002-03-24,79.06666666666666,-112.72205954123964
2002-03-25,79.7,-112.0887262079063
2002-03-26,80.33333333333333,-111.45539287457298
2002-03-27,80.96666666666667,-110.82205954123964
2002-03-28,81.6,-110.18872620790631
2002-03-29,82.23333333333333,-109.55539287457297
2002-03-30,82.86666666666667,-108.92205954123963
2002-03-31,83.5,-108.28872620790631
2002-04-01,84.13333333333333,-107.65539287457298
2002-04-02,84.76666666666667,-107.02205954123964
2002-04-03,85.4,-106.3887262079063
2002-04-04,86.03333333333333,-105.75539287457298
2002-04-05,86.66666666666667,-105.12205954123964
2002-04-06,87.3,-104.48872620790631
2002-04-07,87.93333333333334,-103.85539287457297
2002-04-08,88.56666666666666,-103.22205954123964
2002-04-09,89.2,-102.5887262079063
2002-04-10,89.83333333333334,-101.95539287457296
2002-04-11,90.46666666666667,-101.32205954123964
2002-04-12,91.1,-100.68872620790631
2002-04-13,91.73333333333333,-100.05539287457297
2002-04-14,92.36666666666667,-99.42205954123963
2002-04-15,93.0,-98.78872620790631
2002-04-16,93.66666666666667,-98.12205954123964
2002-04-17,94.33333333333333,-97.45539287457298
2002-04-18,95.0,-96.78872620790631
2002-04-19,94.0,-97.78872620790631
2002-04-20,96.0,-95.78872620790631
2002-04-21,97.0,-94.78872620790631
2002-04-22,98.0,-93.78872620790631
2002-04-23,98.0,-93.78872620790631
2002-04-24,99.0,-92.78872620790631
2002-04-25,99.0,-92.78872620790631
2002-04-26,98.0,-93.78872620790631
2002-04-27,98.0,-93.78872620790631
2002-04-28,,
2002-04-29,98.0,-93.78872620790631
2002-04-30,100.0,-91.78872620790631
2002-05-01,99.0,-92.78872620790631
2002-05-02,99.0,-92.78872620790631
2002-05-03,99.0,-92.78872620790631
2002-05-04,98.0,-93.78872620790631
2002-05-05,98.0,-93.78872620790631
2002-05-06,98.0,-93.78872620790631
2002-05-07,98.0,-93.78872620790631
2002-05-08,97.0,-94.78872620790631
2002-05-09,97.0,-94.78872620790631
2002-05-10,97.0,-94.78872620790631
2002-05-11,99.0,-92.78872620790631
2002-05-12,100.0,-91.78872620790631
2002-05-13,101.0,-90.78872620790631
2002-05-14,102.0,-89.78872620790631
2002-05-15,104.0,-87.78872620790631
2002-05-16,104.0,-87.78872620790631
2002-05-17,105.0,-86.78872620790631
2002-05-18,106.0,-85.78872620790631
2002-05-19,107.0,-84.78872620790631
2002-05-20,107.0,-84.78872620790631
2002-05-21,108.0,-83.78872620790631
2002-05-22,109.0,-82.78872620790631
2002-05-23,111.0,-80.78872620790631
2002-05-24,112.0,-79.78872620790631
2002-05-25,113.0,-78.78872620790631
2002-05-26,113.0,-78.78872620790631
2002-05-27,114.0,-77.78872620790631
2002-05-28,114.0,-77.78872620790631
2002-05-29,116.0,-75.78872620790631
2002-05-30,117.0,-74.78872620790631
2002-05-31,118.0,-73.78872620790631
2002-06-01,119.0,-72.78872620790631
2002-06-02,120.0,-71.78872620790631
2002-06-03,120.0,-71.78872620790631
2002-06-04,121.0,-70.78872620790631
2002-06-05,122.0,-69.78872620790631
2002-06-06,123.0,-68.78872620790631
2002-06-07,124.0,-67.78872620790631
2002-06-08,125.0,-66.78872620790631
2002-06-09,127.0,-64.78872620790631
2002-06-10,127.0,-64.78872620790631
2002-06-11,128.0,-63.78872620790631
2002-06-12,127.0,-64.78872620790631
2002-06-13,115.0,-76.78872620790631
2002-06-14,115.0,-76.78872620790631
2002-06-15,113.0,-78.78872620790631
2002-06-16,113.0,-78.78872620790631
2002-06-17,115.0,-76.78872620790631
2002-06-18,116.0,-75.78872620790631
2002-06-19,118.0,-73.78872620790631
2002-06-20,116.0,-75.78872620790631
2002-06-21,114.0,-77.78872620790631
2002-06-22,114.0,-77.78872620790631
2002-06-23,115.0,-76.78872620790631
2002-06-24,117.0,-74.78872620790631
2002-06-25,120.0,-71.78872620790631
2002-06-26,120.0,-71.78872620790631
2002-06-27,122.0,-69.78872620790631
2002-06-28,124.0,-67.78872620790631
2002-06-29,125.0,-66.78872620790631
2002-06-30,126.0,-65.78872620790631
2002-07-01,126.0,-65.78872620790631
2002-07-02,127.0,-64.78872620790631
2002-07-03,128.0,-63.78872620790631
2002-07-04,127.0,-64.78872620790631
2002-07-05,128.0,-63.78872620790631
2002-07-06,129.0,-62.78872620790631
2002-07-07,130.0,-61.78872620790631
2002-07-08,130.0,-61.78872620790631
2002-07-09,130.0,-61.78872620790631
2002-07-10,131.0,-60.78872620790631
2002-07-11,132.0,-59.78872620790631
2002-07-12,133.0,-58.78872620790631
2002-07-13,133.0,-58.78872620790631
2002-07-14,133.0,-58.78872620790631
2002-07-15,134.0,-57.78872620790631
2002-07-16,135.0,-56.78872620790631
2002-07-17,136.0,-55.78872620790631
2002-07-18,137.0,-54.78872620790631
2002-07-19,138.0,-53.78872620790631
2002-07-20,139.0,-52.78872620790631
2002-07-21,139.0,-52.78872620790631
2002-07-22,140.0,-51.78872620790631
2002-07-23,141.0,-50.78872620790631
2002-07-24,141.0,-50.78872620790631
2002-07-25,142.0,-49.78872620790631
2002-07-26,143.0,-48.78872620790631
2002-07-27,144.0,-47.78872620790631
2002-07-28,144.0,-47.78872620790631
2002-07-29,145.0,-46.78872620790631
2002-07-30,145.0,-46.78872620790631
2002-07-31,146.0,-45.78872620790631
2002-08-01,147.0,-44.78872620790631
2002-08-02,147.0,-44.78872620790631
2002-08-03,148.0,-43.78872620790631
2002-08-04,148.0,-43.78872620790631
2002-08-05,149.0,-42.78872620790631
